event_code,lot_number,plate_raw,hammer_price_gbp,predicted_price_gbp,valuation_low_gbp,valuation_central_gbp,valuation_high_gbp,predicted_value_tier,collectibility_score,collectibility_segment,premium_collectibility_group,recommended_sales_path,sales_path_reason,recommended_fixed_price_gbp,recommended_reserve_price_gbp,specialist_review_required,specialist_review_reason,commercial_opportunity_flag
B278,296,BTA 710R,2760.0,854.7647077288598,680.0,850.0,1070.0,Entry,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,940.0,,0,standard_automated_path,standard_monitoring
B278,297,BTA 97X,300.0,813.3922110951843,650.0,810.0,1020.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,890.0,,0,standard_automated_path,material_valuation_gap_review
B278,298,B1 UCK,4910.0,2147.013111560842,1720.0,2150.0,2680.0,Core,40,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2360.0,,0,standard_automated_path,standard_monitoring
B278,299,BUC 110N,250.0,1041.9767514111034,830.0,1040.0,1300.0,Core,13,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1140.0,,0,standard_automated_path,material_valuation_gap_review
B278,300,BUD 11A,3510.0,1434.782915493227,1150.0,1430.0,1790.0,Core,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1570.0,,0,standard_automated_path,standard_monitoring
B278,301,BUL 170G,1270.0,827.5900733919299,660.0,830.0,1030.0,Entry,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,910.0,,0,standard_automated_path,standard_monitoring
B278,302,BUL 3N,940.0,1813.9001091453863,1450.0,1810.0,2270.0,Core,35,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1990.0,,0,standard_automated_path,material_valuation_gap_review
B278,303,BUN 99Y,1210.0,1398.9691997850423,1120.0,1400.0,1750.0,Core,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1540.0,,0,standard_automated_path,standard_monitoring
B278,304,BUR 77M,760.0,1122.9504516641357,900.0,1120.0,1400.0,Core,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1230.0,,0,standard_automated_path,standard_monitoring
B278,305,BUR 115Y,910.0,1003.2052245570892,800.0,1000.0,1250.0,Core,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1100.0,,0,standard_automated_path,standard_monitoring
B278,306,B116 VAN,1750.0,610.3363196904199,490.0,610.0,760.0,Entry,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,670.0,,0,standard_automated_path,standard_monitoring
B278,307,BYZ 222,670.0,1223.2149947867488,980.0,1220.0,1530.0,Core,23,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1340.0,,0,standard_automated_path,material_valuation_gap_review
B278,308,218 C,10030.0,10559.336369094151,8450.0,10560.0,13200.0,Trophy Value,37,Collectible,Premium Value Only,Specialist Review,high_market_value_not_fully_explained,,,1,high_market_value_not_fully_explained,specialist_assessment
B278,309,515 CA,4310.0,4294.719994419715,3440.0,4290.0,5370.0,Upper Core,18,Distinctive,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,3000.0,0,standard_automated_path,standard_monitoring
B278,310,888 CAG,2510.0,2647.9667004445373,2120.0,2650.0,3310.0,Upper Core,23,Distinctive,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,1850.0,0,standard_automated_path,standard_monitoring
B278,311,CAM 37A,1310.0,1075.9864517523936,860.0,1080.0,1340.0,Core,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1190.0,,0,standard_automated_path,standard_monitoring
B278,312,C777 ANN,870.0,739.5472105191401,590.0,740.0,920.0,Entry,25,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,810.0,,0,standard_automated_path,standard_monitoring
B278,313,CAO 214N,250.0,824.9636343834187,660.0,820.0,1030.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,900.0,,0,standard_automated_path,material_valuation_gap_review
B278,314,CAR 17J,1110.0,1349.65373335982,1080.0,1350.0,1690.0,Core,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1490.0,,0,standard_automated_path,standard_monitoring
B278,315,CAR 199M,760.0,1119.2605638871933,900.0,1120.0,1400.0,Core,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1230.0,,0,standard_automated_path,standard_monitoring
B278,316,CA57 SEY,1910.0,875.5436497874715,700.0,880.0,1090.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,970.0,,0,standard_automated_path,standard_monitoring
B278,317,C99 ATH,720.0,570.2528656377208,460.0,570.0,710.0,Entry,33,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,630.0,,0,standard_automated_path,standard_monitoring
B278,318,CAU 113Y,1010.0,1062.2420535111626,850.0,1060.0,1330.0,Core,8,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1170.0,,0,standard_automated_path,standard_monitoring
B278,319,C426 AVE,250.0,680.7589066555573,540.0,680.0,850.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,750.0,,0,standard_automated_path,material_valuation_gap_review
B278,320,CAZ 951,940.0,830.1258009171282,660.0,830.0,1040.0,Entry,5,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,910.0,,0,standard_automated_path,standard_monitoring
B278,321,1982 CB,3510.0,2797.4777900044314,2240.0,2800.0,3500.0,Upper Core,0,Standard,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,1960.0,0,standard_automated_path,standard_monitoring
